subject,relation,object,source_file
the_verb_article,defines,CORE/operators.yaml#diff,the_verb.yaml
the_verb_article,defines,CORE/operators.yaml#fix,the_verb.yaml
the_verb_article,defines,monos,the_verb.yaml
the_verb_article,defines,logos,the_verb.yaml
the_verb_article,defines,autonegation,the_verb.yaml
monos,derives_from,CORE/axioms.yaml#ban_of_absolute_identity,the_verb.yaml
autonegation,derives_from,CORE/axioms.yaml#ban_of_absolute_identity,the_verb.yaml
CORE/operators.yaml#diff,derives_from,CORE/axioms.yaml#ban_of_absolute_identity,the_verb.yaml
CORE/operators.yaml#fix,derives_from,CORE/operators.yaml#diff,the_verb.yaml
the_verb_article,contradicts,substance_ontology_aristotle,the_verb.yaml
the_verb_article,contradicts,absolute_idea_hegel,the_verb.yaml
the_verb_article,contradicts,ontological_argument,the_verb.yaml
monos,isomorphic_to,logos,the_verb.yaml
the_verb_article,predicts,absence_of_physical_wavefunction_collapse,the_verb.yaml
the_verb_article,predicts,consciousness_at_recursion_threshold,the_verb.yaml
the_verb_article,predicts,absence_of_initial_singularity,the_verb.yaml
autonegation,explains,conservation_laws,the_verb.yaml
diff_fix_operations,explains,wave_particle_duality,the_verb.yaml
recursion_gradient,explains,consciousness_emergence,the_verb.yaml
